Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano,Faturamento(Milhões),Superavit/Deficit(Milhões)
20,Figueirense,Santa Catarina,"R$ 47,5 Milhões[132]","R$ 1,0 Milhões[132]",2015,47.5,1.0
1,Flamengo,Rio de Janeiro,"R$ 347,0 Milhões[133]","R$ 64,3 Milhões[133]",2014,347.0,64.3
2,Corinthians,São Paulo,"R$ 258,2 Milhões[133]","R$ -97,0 Milhões[133]",2014,258.2,97.0
3,São Paulo,São Paulo,"R$ 255,3 Milhões[133]","R$ -100,1 Milhões[133]",2014,255.3,100.1
4,Palmeiras,São Paulo,"R$ 247,6 Milhões[133]","R$ -27,7 Milhões[133]",2014,247.6,27.7
5,Cruzeiro,Minas Gerais,"R$ 223,2 Milhões[133]","R$ -38,7 Milhões[133]",2014,223.2,38.7
6,Internacional,Rio Grande do Sul,"R$ 221,5 Milhões[133]","R$ -49,1 Milhões[133]",2014,221.5,49.1
7,Grêmio,Rio Grande do Sul,"R$ 216,4 Milhões[133]","R$ -31,6 Milhões[133]",2014,216.4,31.6
8,Atlético Mineiro,Minas Gerais,"R$ 178,9 Milhões[133]","R$ -48,4 Milhões[133]",2014,178.9,48.4
9,Santos,São Paulo,"R$ 171,2 Milhões[124]","R$ -59,0 Milhões[133]",2014,171.2,59.0
10,Botafogo,Rio de Janeiro,"R$ 163,4 Milhões[133]","R$ -174,8 Milhões[133]",2014,163.4,174.8
11,Atlético Paranaense,Paraná,"R$ 154,7 Milhões[133]","R$ 43,2 Milhões[133]",2014,154.7,43.2
12,Vasco,Rio de Janeiro,"R$ 129,2 Milhões[133]","R$ -13,6 Milhões[133]",2014,129.2,13.6
13,Fluminense,Rio de Janeiro,"R$ 122,3 Milhões[133]","R$ -7,1 Milhões[133]",2014,122.3,7.1
14,Coritiba,Paraná,"R$ 87,3 Milhões[133]","R$ -42,9 Milhões[133]",2014,87.3,42.9
15,Bahia,Bahia,"R$ 75,8 Milhões[133]","R$ -13,7 Milhões[133]",2014,75.8,13.7
16,Goiás,Goiás,"R$ 66,7 Milhões[138]","R$ 15,1 Milhões[136]",2014,66.7,15.1
17,Vitória,Bahia,"R$ 61,8 Milhões[133]","R$ 0,3 Milhão[133]",2014,61.8,0.3
18,Sport,Pernambuco,"R$ 60,8 Milhões[138]","R$ -8,6 Milhões[135]",2014,60.8,8.6
19,Criciúma,Santa Catarina,"R$ 43,2 milhões[137]","R$ 0,9 milhão[137]",2014,43.2,0.9
20,Figueirense,Santa Catarina,"R$ 41,9 Milhões[138]","R$ -8,3 Milhões[134]",2014,41.9,8.3
1,São Paulo,São Paulo,"R$ 364,7 Milhões[139]","R$ 23,5 Milhões[139]",2013,364.7,23.5
2,Corinthians,São Paulo,"R$ 316,0 Milhões[139]","R$ 1,0 Milhão[139]",2013,316.0,1.0
3,Internacional,Rio Grande do Sul,"R$ 276,7 Milhões[139]","R$ -1,0 Milhão[139]",2013,276.7,1.0
4,Flamengo,Rio de Janeiro,"R$ 272,9 Milhões[139]","R$ -19,5 Milhões[139]",2013,272.9,19.5
5,Atlético Mineiro,Minas Gerais,"R$ 227,9 Milhões[139]","R$ -22,5 Milhões[139]",2013,227.9,22.5
6,Grêmio,Rio Grande do Sul,"R$ 192,3 Milhões[139]","R$ -51,5 Milhões[139]",2013,192.3,51.5
7,Santos,São Paulo,"R$ 190,3 Milhões[139]","R$ -40,6 Milhões[139]",2013,190.3,40.6
8,Cruzeiro,Minas Gerais,"R$ 187,9 Milhões[139]","R$ -22,8 Milhões[139]",2013,187.9,22.8
9,Palmeiras,São Paulo,"R$ 181,2 Milhões[139]","R$ -22,6 Milhões[139]",2013,181.2,22.6
10,Vasco,Rio de Janeiro,"R$ 159,7 Milhões[139]","R$ -3,5 Milhões[139]",2013,159.7,3.5
11,Botafogo,Rio de Janeiro,"R$ 154,4 Milhões[139]","R$ -80,3 Milhões[139]",2013,154.4,80.3
12,Fluminense,Rio de Janeiro,"R$ 124,8 Milhões[139]","R$ -3,3 Milhões[139]",2013,124.8,3.3
13,Coritiba,Paraná,"R$ 96,7 Milhões[139]","R$ -6,7 Milhões[139]",2013,96.7,6.7
14,Bahia,Bahia,"R$ 74,4 Milhões[141]","R$ -113,0 Milhões[141]",2013,74.4,113.0
15,Atlético Paranaense,Paraná,"R$ 73,4 Milhões[140]","R$ -6,4 Milhões[140]",2013,73.4,6.4
16,Vitória,Bahia,"R$ 65,1 Milhões[139]","R$ 0,5 Milhão[139]",2013,65.1,0.5
17,Goiás,Goiás,"R$ 55,5 Milhões[139]","R$ -7,5 Milhões[139]",2013,55.5,7.5
18,Sport,Pernambuco,"R$ 51,4 Milhões[139]","R$ -5,0 Milhões[139]",2013,51.4,5.0
19,Náutico,Pernambuco,"R$ 48,1 Milhões[139]","R$ -0,7 Milhões[139]",2013,48.1,0.7
20,Ponte Preta,São Paulo,"R$ 45,6 Milhões[139]","R$ 1,4 Milhão[139]",2013,45.6,1.4
1,Corinthians,São Paulo,"R$ 358,5 Milhões[139]","R$ 7,5 Milhões[139]",2012,358.5,7.5
2,São Paulo,São Paulo,"R$ 284,1 Milhões[139]","R$ 0,8 Milhão[139]",2012,284.1,0.8
3,Internacional,Rio Grande do Sul,"R$ 264,2 Milhões[139]","R$ 11,0 Milhões[139]",2012,264.2,11.0
4,Palmeiras,São Paulo,"R$ 244,6 Milhões[139]","R$ 31,9 Milhões[139]",2012,244.6,31.9
5,Grêmio,Rio Grande do Sul,"R$ 233,5 Milhões[139]","R$ 28,2 Milhões[139]",2012,233.5,28.2
6,Flamengo,Rio de Janeiro,"R$ 212,0 Milhões[139]","R$ -60,5 Milhões[139]",2012,212.0,60.5
7,Santos,São Paulo,"R$ 197,8 Milhões[139]","R$ 14,6 Milhões[139]",2012,197.8,14.6
8,Atlético Paranaense,Paraná,"R$ 187,0 Milhões[143]","R$ 122,8 Milhões[142]",2012,187.0,122.8
9,Atlético Mineiro,Minas Gerais,"R$ 163,0 Milhões[139]","R$ -33,2 Milhões[139]",2012,163.0,33.2
10,Fluminense,Rio de Janeiro,"R$ 151,2 Milhões[139]","R$ -3,7 Milhões[139]",2012,151.2,3.7
11,Vasco,Rio de Janeiro,"R$ 146,2 Milhões[139]","R$ -0,1 Milhão[139]",2012,146.2,0.1
12,Botafogo,Rio de Janeiro,"R$ 122,8 Milhões[139]","R$ -49,3 Milhões[139]",2012,122.8,49.3
13,Cruzeiro,Minas Gerais,"R$ 120,4 Milhões[139]","R$ -31,0 Milhões[139]",2012,120.4,31.0
14,Coritiba,Paraná,"R$ 86,8 Milhões[139]","R$ -9,0 Milhões[139]",2012,86.8,9.0
15,Sport,Pernambuco,"R$ 79,8 Milhões[139]","R$ 23,5 Milhões[139]",2012,79.8,23.5
16,Bahia,Bahia,"R$ 66,6 Milhões[143]","R$ -3,1 Milhões[143]",2012,66.6,3.1
17,Goiás,Goiás,"R$ 53,1 Milhões[139]","R$ 1,4 Milhão[139]",2012,53.1,1.4
18,Vitória,Bahia,"R$ 52,3 Milhões[139]","R$ 0,2 Milhão[139]",2012,52.3,0.2
19,Portuguesa,São Paulo,"R$ 50,3 Milhões[143]","R$ 1,4 Milhão[143]",2012,50.3,1.4
20,Náutico,Pernambuco,"R$ 41,1 Milhões[139]","R$ -0,4 Milhão[139]",2012,41.1,0.4
1,Corinthians,São Paulo,"R$ 290,5 Milhões[139]","R$ 5,3 Milhões[139]",2011,290.5,5.3
2,São Paulo,São Paulo,"R$ 226,1 Milhões[139]","R$ 0,2 Milhão[139]",2011,226.1,0.2
3,Internacional,Rio Grande do Sul,"R$ 198,2 Milhões[139]","R$ -23,4 Milhões[139]",2011,198.2,23.4
4,Santos,São Paulo,"R$ 189,1 Milhões[139]","R$ 7,4 Milhões[139]",2011,189.1,7.4
5,Flamengo,Rio de Janeiro,"R$ 185,0 Milhões[139]","R$ -12,4 Milhões[139]",2011,185.0,12.4
6,Palmeiras,São Paulo,"R$ 148,1 Milhões[139]","R$ -22,8 Milhões[139]",2011,148.1,22.8
7,Grêmio,Rio Grande do Sul,"R$ 143,3 Milhões[139]","R$ -21,0 Milhões[139]",2011,143.3,21.0
8,Vasco,Rio de Janeiro,"R$ 137,1 Milhões[139]","R$ 4,6 Milhões[139]",2011,137.1,4.6
9,Cruzeiro,Minas Gerais,"R$ 128,7 Milhões[139]","R$ -13,1 Milhões[139]",2011,128.7,13.1
10,Atlético Mineiro,Minas Gerais,"R$ 99,8 Milhões[139]","R$ -36,1 Milhões[139]",2011,99.8,36.1
11,Fluminense,Rio de Janeiro,"R$ 80,2 Milhões[139]","R$ -34,1 Milhões[139]",2011,80.2,34.1
12,Coritiba,Paraná,"R$ 66,5 Milhões[139]","R$ -11,9 Milhões[139]",2011,66.5,11.9
13,Atlético Paranaense,Paraná,"R$ 62,1 Milhões[143]","R$ -4,9 Milhões[143]",2011,62.1,4.9
14,Botafogo,Rio de Janeiro,"R$ 58,9 Milhões[139]","R$ -166,6 Milhões[139]",2011,58.9,166.6
