Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano,Faturamento(Milhões),Superavit/Deficit(Milhões)
7,Cruzeiro,Minas Gerais,"R$ 94,0 Milhões[144]","R$ -17,4 Milhões[144]",2008,94.0,17.4
8,Fluminense,Rio de Janeiro,"R$ 66,4 Milhões[144]","R$ -43,2 Milhões[144]",2008,66.4,43.2
9,Santos,São Paulo,"R$ 65,3 Milhõoes[144]","R$ -24,7 Milhões[144]",2008,65.3,24.7
10,Atlético Mineiro,Minas Gerais,"R$ 57,6 Milhões[144]","R$ -36,4 Milhões[144]",2008,57.6,36.4
11,Vasco,Rio de Janeiro,"R$ 52,0 Milhões[144]","R$ -276,8 Milhões[144]",2008,52.0,276.8
12,Botafogo,Rio de Janeiro,"R$ 51,5 Milhões[144]","R$ -10,3 Milhões[144]",2008,51.5,10.3
13,Portuguesa,São Paulo,"R$ 47,1 Milhões[144]","R$ 0,1 Milhão[144]",2008,47.1,0.1
14,Atlético Paranaense,Paraná,"R$ 44,3 Milhões[144]","R$ -18,0 Milhões[144]",2008,44.3,18.0
15,Coritiba,Paraná,"R$ 37,6 Milhões[144]","R$ 1,0 Milhão[144]",2008,37.6,1.0
16,Figueirense,Santa Catarina,"R$ 28,3 Milhões[144]","-R$ 1,5 Milhão[144]",2008,28.3,1.5
17,São Caetano,São Paulo,"R$ 24,0 Milhões[144]","R$ -0,2 Milhão[144]",2008,24.0,0.2
18,Goiás,Goiás,"R$ 20,6 Milhões[144]","R$ -19,7 Milhões[144]",2008,20.6,19.7
19,Vitória,Bahia,"R$ 18,8 Milhões[144]","R$ -1,4 Milhão[144]",2008,18.8,1.4
20,Paraná,Paraná,"R$ 17,4 Milhões[144]","R$ -7,6 Milhões[144]",2008,17.4,7.6
1,São Paulo,São Paulo,"R$ 190,0 Milhões[144][145][146]","R$ 3,8 Milhões[144]",2007,190.0,3.8
2,Internacional,Rio Grande do Sul,"R$ 155,8 Milhões[144][145][146]","R$ 18,9 Milhões[144]",2007,155.8,18.9
